,0
Nom,Tournoi d'échecs junior 2022
Lieu,Maisons-Laffitte
Date de début,2022-11-13
Date de fin,2022-11-14
Cadence,Blitz
Description,
Joueurs,"[3, 4, 5, 6, 7, 8, 9, 10]"
Nombre de tours,4
Tours,"[{'round_number': 1, 'round_name': 'Round 1', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}, {'round_number': 2, 'round_name': 'Round 2', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}, {'round_number': 3, 'round_name': 'Round 3', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}, {'round_number': 4, 'round_name': 'Round 4', 'matchs_number': 4, 'matchs': None, 'start_datetime': '', 'end_datetime': '', 'closed': False}]"
Archivé,False
